regions,Finess,typeEtab,ScoreAgrege,ClasseScoreAgrege,Chirurgie,RaisonSociale,CPA,Ambulatoire,Autodialyse exclusif,liso,liso_classe,bmr_classe,bmr,icalin2,icalin2_classe,icatb,icatb_classe,icsha2,icsha2_classe,sarm,sarm_classe,sarm_evolution,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_Raison Sociale,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_field_3,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_Num,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_TypeRue,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_NomRue,CodePostal,lat,long,Adresse des hopitaux et clinique en 2011_Adresse des établissement de santé (Sans Geolocalisation érroné)_field_13
Alsace,670780501,07-SSR-SLD,86,NA,Non,CENTRE SSR MARIENBRONN,1,0,0,0,NC,NC,0,86,A,0,NC,0,NC,0,NC,NC,"CENTRE SSR """"MARIENBRONN""""",CENTRE DE SOINS DE SUITE ET DE RÉADAP EN ADDICTO MARIENBRONN,,,,67250 LOBSANN,7.847346000000016,48.96329,
Alsace,670780543,02-CH INF 300 LP,66.64,C,Oui,CH INTERCOMMUNAL DE LA LAUTER,0,0,0,92,A,E,32,69.5,C,48.75,C,77.8,B,0.63,C,0,,,,,,,,,
Alsace,670780550,07-SSR-SLD,80.64,A,Non,CRF MORSBRONN LES BAINS,0,0,0,0,NC,A,100,74.5,A,80,A,82.1,A,0.61,D,1,CRF MORSBRONN LES BAINS,CENTRE DE RÉADAPTATION FONCTIONNELLE DE MORSBRONN-LES-BAINS,12,RTE,DE HAGUENAU,67360 MORSBRONN LES BAINS,7.743375799999967,48.935911,
Alsace,670780584,02-CH INF 300 LP,72.87,B,Non,CENTRE HOSPITALIER DEPARTEMENTAL,0,0,0,0,NC,C,66,79,A,71.25,B,67.3,B,0.21,A,-1,,,,,,,,,
Alsace,670780592,07-SSR-SLD,74.12,B,Non,CRF NIEDERBRONN LES BAINS,0,0,0,0,NC,A,100,73.5,A,70,B,66.1,B,0,NC,NC,CRF NIEDERBRONN LES BAINS,CTRE DE RÉADAPTATION FONCTIONNELLE DE NIEDERBRONN-LES-BAINS,18,R,DU MARECHAL LECLERC,67110 NIEDERBRONN LES BAINS,7.642369000000031,48.9497064,
Alsace,670780600,07-SSR-SLD,65.68,B,Non,ETS MEDICAL DE LIEBFRAUENTHAL,0,0,0,0,NC,C,60,77,A,80,A,34.5,D,0,NC,NC,CENTRE MEDICAL CERRAN LIEBFRAUENTHAL,CENTRE MEDICAL CERRAN SITE LIEBFRAUENTHAL,,,,67360 GOERSDORF,7.767070999999987,48.95097699999999,
Alsace,670780642,07-SSR-SLD,70.31,B,Non,HOPITAL LOCAL DE MOLSHEIM,0,0,0,0,NC,C,58,58.5,C,67.5,B,138.5,A,0,NC,NC,,,,,,,,,
Alsace,670780675,04-HOPITAL LOCAL,68.12,B,Non,HOPITAL LOCAL DE ROSHEIM,0,0,0,0,NC,C,50,55.5,D,67.5,A,181.5,A,0,NC,NC,,,,,,,,,
Alsace,670780691,02-CH INF 300 LP,82.98,A,Oui,CENTRE HOSPITALIER DE SELESTAT,0,0,0,79,B,B,84,71,B,90,A,99.4,A,0.33,B,1,,,,,,,,,
Alsace,670780709,02-CH INF 300 LP,68,C,Non,HOPITAL CIVIL D'OBERNAI,0,0,0,0,NC,D,58,59,D,90,A,66.8,B,0,NC,NC,,,,,,,,,
Alsace,670780717,04-HOPITAL LOCAL,79.88,A,Non,HOPITAL LOCAL D'ERSTEIN,0,0,0,0,NC,E,16,75.5,A,100,A,413.5,A,0,NC,NC,,,,,,,,,
Alsace,670780873,07-SSR-SLD,76.91,A,Non,CENTRE MEDICAL DE SAALES,0,0,0,0,NC,B,84,70.5,A,75,A,86.4,A,0,NC,NC,CENTRE MEDICAL DE SAALES,CENTRE MEDICAL DE SAALES,,RTE,HANTZ,67420 SAALES,7.093507100000011,48.40025379999999,
Alsace,670780915,07-SSR-SLD,74.99,A,Non,CRF SCHIRMECK,0,0,0,0,NC,C,68,70.5,A,75,A,86.4,A,0,NC,NC,CRF SCHIRMECK,CENTRE DE RÉADAPTATION FONCTIONNELLE DE SCHIRMECK,32,R,DE L'ANCIEN SANATORIUM,67133 SCHIRMECK CEDEX,7.217416800000024,48.4865735,
Alsace,670781152,03-ETAB. PSY,75.74,A,Non,CENTRE HOSPITALIER D'ERSTEIN,0,0,0,0,NC,B,82,57.5,C,100,A,80.1,A,0,NC,NC,,,,,,,,,
Alsace,680000072,07-SSR-SLD,80.13,A,Non,CENTRE MEDICAL LE SCHIMMEL,0,0,0,0,NC,B,84,82,A,80,A,75,B,0,NC,NC,CENTRE MEDICAL LE SCHIMMEL,CENTRE MEDICAL LE SCHIMMEL,,,,68290 MASEVAUX,6.996478000000025,47.774558,
Alsace,680000130,07-SSR-SLD,71.43,B,Non,CENTRE DE READAPTATION DE MULHOUSE,0,0,0,0,NC,C,68,70,A,67.5,B,79.6,B,0,NC,NC,CENTRE DE READAPTATION DE MULHOUSE,CENTRE DE READAPTATION DE MULHOUSE,57,R,ALBERT CAMUS,68093 MULHOUSE CEDEX 2,7.302613599999972,47.73324789999999,
Alsace,680000171,04-HOPITAL LOCAL,85.51,A,Non,HOPITAL LOCAL DE SIERENTZ,0,0,0,0,NC,B,68,90.5,A,71.25,A,181,A,0,NC,NC,,,,,,,,,
Alsace,680000189,07-SSR-SLD,96.72,A,Non,SAINT JEAN CENTRE SSR,0,0,0,0,NC,A,100,92,A,100,A,110.7,A,0,NC,NC,SAINT JEAN CENTRE SSR,SAINT JEAN CENTRE DE SOINS DE SUITE ET DE READAPTATION,1,,GRAND RUE,68780 SENTHEIM,7.058916299999964,47.7577789,
Alsace,680000197,05-CL SUP 100 LP,75.44,B,Oui,CLINIQUE DES TROIS FRONTIERES,0,0,0,95,A,E,8,78,B,73.75,B,91.7,A,0.24,C,1,,,,,,,,,
Alsace,680000221,07-SSR-SLD,47.99,C,Non,HOPITAL SAINT-VINCENT,0,0,0,0,NC,E,28,53,D,61.25,B,36.2,D,0,NC,NC,HOPITAL SAINT-VINCENT,HOPITAL SAINT-VINCENT,60,,GRAND RUE,68830 ODEREN,6.974962300000016,47.910914,
Alsace,680000247,07-SSR-SLD,90.03,A,Non,CENTRE MEDICAL LALANCE,0,0,0,0,NC,A,100,88,A,80,A,98.5,A,0,NC,NC,CENTRE MEDICAL LALANCE,CENTRE MEDICAL LALANCE,,,,68460 LUTTERBACH,7.281792999999993,47.760549,
Alsace,680000296,07-SSR-SLD,88.33,A,Non,CENTRE MEDICAL LUPPACH,0,0,0,0,NC,A,100,83,A,80,A,156.8,A,0,NC,NC,CENTRE MEDICAL LUPPACH,CENTRE MÉDICAL LUPPACH,,,,68480 BOUXWILLER,7.344795999999974,47.504981,
Alsace,680000304,03-ETAB. PSY,84.36,A,Non,CENTRE MEDICAL LE ROGGENBERG,0,0,0,0,NC,A,84,78,A,80,A,146,A,0,NC,NC,CENTRE MEDICAL LE ROGGENBERG,CENTRE MEDICAL LE ROGGENBERG,12,R,BRULÉE,68134 ALTKIRCH CEDEX,7.240783700000065,47.6200444,
Alsace,680000312,07-SSR-SLD,84.93,A,Non,CLINIQUE DE GERONTOLOGIE ST DAMIEN,0,0,0,0,NC,B,84,75.5,A,90,A,96.8,A,0,NC,NC,POLE DE GERONTOLOGIE SAINT DAMIEN,POLE DE GERONTOLOGIE SAINT DAMIEN,23,AV,DE LA 1ERE DIVISION BLINDEE,68090 MULHOUSE CEDEX 1,7.3401115000000345,47.7337224,
Alsace,680000320,05-CL SUP 100 LP,84.77,A,Oui,CLINIQUE SAINT-SAUVEUR,0,0,0,93,A,C,84,86.5,A,95,A,65.7,B,0.07,A,1,CLINIQUE DIACONAT FONDERIE,CLINIQUE DIACONAT FONDERIE,1,R,SAINT-SAUVEUR,68054 MULHOUSE CEDEX 1,7.331961500000034,47.7409129,
Alsace,680000338,10-HEMODIALYSE,67.13,C,Non,CENTRE DE DIALYSE DIAVERUM,0,0,0,0,NC,B,70,67.5,C,0,NC,65.1,B,0,NC,NC,CENTRE DE DIALYSE DIAVERUM,CENTRE DE DIALYSE DIAVERUM MULHOUSE,55,R,DOCTEUR LEON MANGENEY,68100 MULHOUSE,7.339116200000035,47.7256368,
Alsace,680000346,02-CH INF 300 LP,73.13,B,Non,CENTRE HOSPITALIER DE CERNAY,0,0,0,0,NC,D,52,48.5,E,100,A,129,A,0,NC,NC,,,,,,,,,
Alsace,680000395,02-CH INF 300 LP,73.68,B,Oui,CENTRE HOSPITALIER D'ALTKIRCH,0,0,0,68,D,A,92,79,A,61.25,B,71.9,B,0.59,C,0,,,,,,,,,
Alsace,680000411,02-CH INF 300 LP,97.95,A,Non,CENTRE HOSPITALIER DE PFASTATT,0,0,0,0,NC,A,100,95,A,100,A,116.6,A,0,NC,NC,,,,,,,,,
Alsace,680000437,02-CH INF 300 LP,64.25,C,Oui,CENTRE HOSPITALIER DE THANN,0,0,0,66,D,D,48,60.5,D,71.25,B,70.6,B,0,NC,NC,,,,,,,,,
Alsace,680000486,02-CH SUP 300 LP,87.17,A,Oui,HOPITAL DU HASENRAIN,0,0,0,84,B,B,92,81.5,B,87.5,A,96.7,A,0.28,A,1,,,,,,,,,
Alsace,680000494,05-CL SUP 100 LP,90.22,A,Oui,CLINIQUE DU DIACONAT MULHOUSE,0,0,0,95,A,A,100,89.5,A,85,A,88.2,A,0.09,A,0,CLINIQUE DIACONAT ROOSEVELT,CLINIQUE DIACONAT ROOSEVELT,14,BD,DU PRESIDENT ROOSEVELT,68200 MULHOUSE,7.330786200000034,47.7491322,
Alsace,680000973,02-CH SUP 300 LP,86.43,A,Oui,HOPITAL LOUIS PASTEUR,0,0,0,90,A,C,78,77.5,B,90,A,103.6,A,0.48,C,1,,,,,,,,,
Alsace,680000981,04-HOPITAL LOCAL,94.37,A,Non,ETABLISSEMENT PUBLIC DE SANTE DR THUET,0,0,0,0,NC,A,100,92,A,90,A,140.9,A,0,NC,NC,,,,,,,,,
Alsace,680001005,02-CH INF 300 LP,64.8,C,Oui,CENTRE HOSPITALIER DE GUEBWILLER,0,0,0,65,D,E,26,76,B,76.25,A,53,C,0,NC,NC,,,,,,,,,
Alsace,680001054,04-HOPITAL LOCAL,80.71,A,Non,HOPITAL INTERCOMMUNAL DU VAL D'ARGENT,0,0,0,0,NC,A,84,60.5,C,95,A,119.2,A,0,NC,NC,,,,,,,,,
Alsace,680001088,04-HOPITAL LOCAL,96.72,A,Non,HOPITAL INTERCOMMUNAL SOULTZ-ISSENHEIM,0,0,0,0,NC,A,100,92,A,100,A,110.2,A,0,NC,NC,,,,,,,,,
Alsace,680001112,07-SSR-SLD,71.81,B,Non,MAISON DE SANTE MED MUNSTER HASLACH,0,0,0,0,NC,A,92,64,B,93.75,A,53.2,C,0,NC,NC,,,,,,,,,
Alsace,680001138,04-HOPITAL LOCAL,78.53,A,Non,HOPITAL LOCAL DE RIBEAUVILLE,0,0,0,0,NC,B,68,57,C,100,A,140.5,A,0,NC,NC,,,,,,,,,
Alsace,680001179,03-ETAB. PSY,92.18,A,Non,CENTRE HOSPITALIER DE ROUFFACH,0,0,0,0,NC,A,100,84.5,A,93.75,A,102,A,0,NC,NC,,,,,,,,,
Alsace,680001195,02-CH SUP 300 LP,89.12,A,Oui,HOPITAL ALBERT SCHWEITZER,0,0,0,96,A,C,84,86.5,A,90,A,90.2,A,0.23,A,0,HOPITAL ALBERT SCHWEITZER,HOPITAL ALBERT SCHWEITZER,201,AV,D'ALSACE,68003 COLMAR CEDEX,7.364438000000064,48.0639172,
Alsace,680001237,07-SSR-SLD,77.5,A,Non,CRF LE MUESBERG,0,0,0,0,NC,A,100,72,A,80,A,73.1,B,0.09,B,NC,CRF LE MUESBERG,CENTRE DE READAPTATION FONCTIONNELLE LE MUESBERG,,,,68150 AUBURE,7.221505999999977,48.19756100000001,
Alsace,680001294,03-ETAB. PSY,78.33,A,Non,CLINIQUE SOLISANA GUEBWILLER,0,0,0,0,NC,A,92,52.5,C,98.75,A,96,A,0,NC,NC,CLINIQUE KORIAN SOLISANA,CLINIQUE KORIAN SOLISANA GUEBWILLER,1,CHE,DU LIEBENBERG,68500 GUEBWILLER,7.2093360000000075,47.911586,
Alsace,680001310,07-SSR-SLD,82.76,A,Non,CENTRE MEDICAL SAINTE ANNE,0,0,0,0,NC,A,100,79.5,A,75,A,87.4,A,0,NC,NC,CENTRE MEDICAL SAINTE ANNE,CENTRE MEDICAL SAINTE ANNE JUNGHOLTZ,,R,DE  THIERENBACH,68500 JUNGHOLTZ,7.19514700000002,47.884071,
Alsace,680001328,07-SSR-SLD,90.38,A,Non,CENTRE SSR MGEN ASS TROIS-EPIS,0,0,0,0,NC,A,94,89,A,100,A,81.3,A,0.2,C,0,CENTRE SSR MGEN ASS TROIS-EPIS,CENTRE DE SOINS DE SUITE ET DE READAPTATION  M.G.E.N. ASS,,,SQUARE MARCEL RIVIERE,68410 LES TROIS EPIS,NULL,,
Alsace,680007648,09-HAD,71.37,A,Non,HAD CENTRE ALSACE,0,0,0,0,NC,C,20,73.5,A,0,NC,92.5,A,0,NC,NC,HAD CENTRE ALSACE,HOSPITALISATION À DOMICILE DU CENTRE ALSACE,20,R,D'AGEN,68000 COLMAR,7.354897700000038,48.086703,
Alsace,680012648,04-HOPITAL LOCAL,88.34,A,Non,HOP RESID HOSPITALIERE DE LA WEISS,0,0,0,0,NC,A,100,78,A,88.75,A,178.1,A,0,NC,NC,,,,,,,,,
Alsace,680014495,07-SSR-SLD,73.74,B,Non,SLD CDRS COLMAR EHPAD,0,0,0,0,NC,E,26,70.5,A,77.5,A,116.7,A,0.29,C,-1,,,,,,,,,
Alsace,680017829,09-HAD,68.29,B,Non,HOSPITALISATION A DOMICILE SUD-ALSACE,0,0,0,0,NC,C,20,63.5,B,0,NC,117.9,A,0,NC,NC,HAD SUD ALSACE,HOSPITALISATION A DOMICILE DU SUD ALSACE,87,AV,D'ALTKIRCH,68051 MULHOUSE CEDEX 1,7.331617999999935,47.7337773,
Aquitaine,240000034,07-SSR-SLD,76.96,A,Non,C.H DE LANMARY,0,0,0,0,NC,C,62,58.5,C,93.75,A,100.4,A,0.36,D,0,,,,,,,,,
Aquitaine,240000042,04-HOPITAL LOCAL,89.05,A,Non,HOPITAL LOCAL DE BELVES,0,0,0,0,NC,A,86,91,A,76.25,A,224.9,A,0,NC,NC,,,,,,,,,
Aquitaine,240000059,02-CH INF 300 LP,76.65,B,Oui,CENTRE HOSPITALIER DE BERGERAC,0,0,0,79,B,D,60,69,C,88.75,A,84.5,A,0.42,C,0,,,,,,,,,
Aquitaine,240000067,04-HOPITAL LOCAL,94.38,A,Non,HOPITAL LOCAL DE DOMME,0,0,0,0,NC,A,92,91.5,A,95,A,246.9,A,0,NC,NC,,,,,,,,,
Aquitaine,240000075,04-HOPITAL LOCAL,73.56,A,Non,HOPITAL LOCAL D'EXCIDEUIL,0,0,0,0,NC,C,50,69.5,B,66.25,A,141.7,A,0,NC,NC,,,,,,,,,
Aquitaine,240000083,03-ETAB. PSY,77.86,A,Non,CENTRE HOSPITALIER VAUCLAIRE,0,0,0,0,NC,B,78,75,A,73.75,A,86.9,A,0,NC,NC,,,,,,,,,
Aquitaine,240000109,04-HOPITAL LOCAL,65.16,B,Non,HOPITAL LOCAL DE NONTRON,0,0,0,0,NC,B,68,73.5,A,62.5,A,51.8,C,0,NC,NC,,,,,,,,,
Aquitaine,240000117,02-CH SUP 300 LP,85.25,A,Oui,CENTRE HOSPITALIER DE PERIGUEUX,0,0,0,72,D,C,84,88,A,93.75,A,82.5,A,0.55,C,1,,,,,,,,,
Aquitaine,240000133,04-HOPITAL LOCAL,89.12,A,Non,HOPITAL LOCAL DE RIBERAC,0,0,0,0,NC,A,84,81,A,95,A,113.8,A,0,NC,NC,,,,,,,,,
Aquitaine,240000141,04-HOPITAL LOCAL,51.57,C,Non,HOPITAL LOCAL DE SAINT ASTIER,0,0,0,0,NC,B,62,62,C,35,C,44.6,C,0,NC,NC,,,,,,,,,
Aquitaine,240000158,04-HOPITAL LOCAL,72.56,A,Non,HOPITAL LOCAL CHENARD,0,0,0,0,NC,A,84,70,A,43.75,B,152.7,A,0,NC,NC,,,,,,,,,
Aquitaine,240000166,07-SSR-SLD,60.51,B,Non,CENTRE HOSPITALIER LA MEYNARDIE,0,0,0,0,NC,A,92,64,B,33.75,C,65.1,B,0.15,B,0,,,,,,,,,
Aquitaine,240000190,05-CL SUP 100 LP,73.03,C,Oui,POLYCLINIQUE FRANCHEVILLE,0,0,0,74,D,C,84,79,B,77.5,B,51.9,C,1.16,E,0,POLYCLINIQUE FRANCHEVILLE,SOCIETE ANONYME POLYCLINIQUE FRANCHEVILLE,34,BD,DE VESONE,24004 PERIGUEUX CEDEX,0.7177748000000292,45.1813031,
Aquitaine,240000208,05-CL SUP 100 LP,78.11,B,Oui,CLINIQUE PASTEUR,0,0,0,90,A,B,92,71.5,C,72.5,B,79.4,B,0,NC,NC,CLINIQUE PASTEUR,CLINIQUE PASTEUR,54,R,DU PROFESSEUR POZZI,24100 BERGERAC,0.4899493000000348,44.8520352,
Aquitaine,240000216,05-CL INF 100 LP,88.56,A,Oui,CLINIQUE DU PARC,0,0,0,84,B,B,84,80,B,100,A,97.8,A,0,NC,NC,CLINIQUE DU PARC,SA CLINIQUE DU PARC,26,R,PAUL- LOUIS COURIER,24009 PERIGUEUX CEDEX,0.7276573000000326,45.1889945,
Aquitaine,240000273,07-SSR-SLD,69.6,B,Non,CLINIQUE PIERRE DE BRANTOME,0,0,0,0,NC,C,58,76,A,86.25,A,47.7,C,0,NC,NC,CLINIQUE PIERRE DE BRANTOME,MAISON DE CONVALESCENCE - CLINIQUE PIERRE DE BRANTOME,,,,24310 BRANTOME,0.6473939999999629,45.365187,
Aquitaine,240000307,07-SSR-SLD,60.26,B,Non,CENTRE MEDICAL CHATEAU DE BASSY,0,0,0,0,NC,D,46,56,C,91.25,A,44,C,0,NC,NC,CENTRE MEDICAL CHATEAU DE BASSY,CENTRE MEDICAL LE CHATEAU DE BASSY,1,R,DU BOSQUET,24400 ST MEDARD DE MUSSIDAN,0.3362223999999969,45.0198775,
Aquitaine,240000448,02-CH INF 300 LP,71.11,B,Oui,CENTRE HOSPITALIER SARLAT,0,0,0,78,B,D,62,70,C,88.75,A,54.8,C,0.45,C,0,,,,,,,,,
Aquitaine,240000646,03-ETAB. PSY,59.14,C,Non,FONDATION JOHN BOST,0,0,0,0,NC,B,72,58,C,95,A,18.7,E,0,NC,NC,FONDATION JOHN BOST,MAISON DE SANTE POUR MALADIES MENTALES FONDATION JOHN BOST,6,R,JOHN BOST,24130 LA FORCE,0.37933810000004087,44.8676452,
Aquitaine,240000661,07-SSR-SLD,74.24,B,Non,MAISON REPOS ET CONVALESCENCE DE LOLME,0,0,0,0,NC,B,84,77,A,82.5,A,56.2,C,0,NC,NC,MAISON REPOS ET CONVALESCENCE DE LOLME,MAISON DE REPOS ET DE CONVALESCENCE DE LOLME,,,,24540 LOLME,0.8415939999999864,44.710507,
Aquitaine,240002402,07-SSR-SLD,84.51,A,Non,CENTRE DE REEDUCATION LA LANDE,0,0,0,0,NC,A,100,86,A,87.5,A,71,B,0.1,B,1,CENTRE DE REEDUCATION LA LANDE,CENTRE DE REEDUCATION FONCTIONNELLE ET CARDIAQUE LA LANDE,59,RTE,DE SAINT-ASTIER,24430 ANNESSE ET BEAULIEU,0.5731653000000279,45.1716743,
Aquitaine,240008318,07-SSR-SLD,74.74,A,Non,CENTRE DE SOINS LE VERGER DES BALANS,0,0,0,0,NC,D,48,66.5,B,77.5,A,143.5,A,0,NC,NC,CENTRE DE SOINS LE VERGER DES BALANS,LE VERGER DES BALANS - SOINS DE SUITE ET DE RÉADAPTATION,9,RTE,DES BALANS,24430 ANNESSE ET BEAULIEU,0.5764169000000265,45.1705037,
Aquitaine,330000217,07-SSR-SLD,79.83,A,Non,MAISON DE SANTE MARIE GALENE,0,0,0,0,NC,C,68,87.5,A,77.5,A,74.8,B,0,NC,NC,MAISON DE SANTE MARIE GALENE,MAISON DE SANTE MARIE GALENE ASSOC DES DAMES DU CALVAIRE,30,R,KLEBER,33200 BORDEAUX,-0.5700263999999606,44.8284654,
